run,stratum,arm,seed,node,code_sha256,originally_executed
514320462b1e1536,random-acts-of-pizza/7200/qwen,forets-1,4,de50a3b8454c454e85d9d3b9e484b90c,1db2be46ade1b9d8e6779df93dcffcf0c788d9b4675deb0d505aec651f0d6131,False
514320462b1e1536,random-acts-of-pizza/7200/qwen,forets-1,4,7c458c64f8ab40d38b0c98d511aefc81,028287925f665ced1a718d1c663e38889f8580bab268519bdff0d7045bd877ef,True
514320462b1e1536,random-acts-of-pizza/7200/qwen,forets-1,4,30627064427b4c0abb6e47caeec36bc2,cc12f339fd45169b036d0b632e149a8544f06773c4eb03ea5b585de57a428c32,False
514320462b1e1536,random-acts-of-pizza/7200/qwen,forets-1,4,eca03c7bcac242508649d4fd902a47a2,cbd1f327ab370142e085238290c2b67f0d3f15c4f65a5fd751f9b1b544bd94f8,False
514320462b1e1536,random-acts-of-pizza/7200/qwen,forets-1,4,a3153fa935d1464fae986b4f16065ac7,f5aaea4ddb8f154fbaadffe38f803d08f24383a9d7abd6b5ab0cf4059b768ff0,False
514320462b1e1536,random-acts-of-pizza/7200/qwen,forets-1,4,44ae4cd6c99b4b73a6424bad5ab42cfa,5b98717d6330075053f02eb094819b34e2148beb9812852dcfa726027bbcdbf4,True
620f3b971818de16,random-acts-of-pizza/7200/qwen,forets-1,5,476da0e91f96475c824d013526dc9ebc,d57e51a96feab7467bc3bf7b90e6743b56a18ccd87582a4cfe4898c98069301f,False
620f3b971818de16,random-acts-of-pizza/7200/qwen,forets-1,5,f61a41aebfde4196ad5d0b4fecfc3556,008849b0acfed2a4f41fe356891cce1ebf106a3ff430a77d42a188b64c0967e8,False
620f3b971818de16,random-acts-of-pizza/7200/qwen,forets-1,5,8209a68afb3e4fdaa58e0769275b55e5,227f4b6644cf24822a447b95c4a2078b8406b1ecb6594a176535b60d5c9134f1,False
620f3b971818de16,random-acts-of-pizza/7200/qwen,forets-1,5,36d7c6b6e3a646d6ab2a1f1ae518eefe,70b5bfd58034a0ae77d87c62cddd9c862926a7505a901b87215b471a0f2bd5d8,False
620f3b971818de16,random-acts-of-pizza/7200/qwen,forets-1,5,e330a121187648ad8b343fc6b4536553,62ecc3a439384abbb4731203bb5a61d8e20fe3cdf858bf43360bfbff28207d45,True
620f3b971818de16,random-acts-of-pizza/7200/qwen,forets-1,5,75d35fe036cd464ca6ee43c9effdcd81,ade2f07bc025bc88963713482a4eb2941ffdb0c7ef9f0211842760b959400142,True
5c3f818a9595bd79,random-acts-of-pizza/7200/qwen,forets-1,1,9295cb2645564e10976f548dfdb1556a,e63b920d2fb0873725c31b0c1e91689f9351de33d81dd916b9e63589036b4c32,False
5c3f818a9595bd79,random-acts-of-pizza/7200/qwen,forets-1,1,7880882e2c4546bdbe717326154bab9c,35996b92f45a8c60f3f63b486ea434f59bc3632ab984744e8c0f8875f4d81ac1,True
5c3f818a9595bd79,random-acts-of-pizza/7200/qwen,forets-1,1,4e271fe3ed0a4a17a91c609ce8700a42,d431351c8fd394ad1732c426f52db80f50a1c2789790128ff0f767f53cd3029c,False
5c3f818a9595bd79,random-acts-of-pizza/7200/qwen,forets-1,1,c2caa321fede456e903b64cb715aa825,6a2a35a7237160ee71a2a74a9c30d4a3f564ff76529494d9c6bd76edfd7f4259,True
5c3f818a9595bd79,random-acts-of-pizza/7200/qwen,forets-1,1,faad75c3a3224bbab539f38b81ea7bd7,66546815bf1444c69388f8737bb480da395a9bdcf2c1fd375aa581298f4b240b,False
5c3f818a9595bd79,random-acts-of-pizza/7200/qwen,forets-1,1,b22e90df0b2b4cd5992adfefd1773d31,2b5a33086daadea73467cf83f457e654f6d4bda9312340510e531837aa948911,False
1eee3186d26dcbcd,random-acts-of-pizza/7200/qwen,forets-1,2,553b31e102de448c833738c3a127803f,573933c0c746d34c4e26287c84791ceea65a5431a6ffe9877d0ef44d19b99b95,True
1eee3186d26dcbcd,random-acts-of-pizza/7200/qwen,forets-1,2,deb8a2c18e0d45e0a9927779245ce064,16e8bd5d2b73693114e571b698978f3cf9e854c8d4bf957fc2fabfbe2e5284c0,False
1eee3186d26dcbcd,random-acts-of-pizza/7200/qwen,forets-1,2,bc9ebe489e914c47b93554ef82395026,db2b9bedbb1eb0e678a1ded029001f5f7570c7b413ccb413bacf696ba2a4ff43,False
1eee3186d26dcbcd,random-acts-of-pizza/7200/qwen,forets-1,2,fd9a0de3b0f84a65b4423b2e12333527,50215cebae182c415f872ba06f507b63933507a4834424239c885d961e0764bb,False
1eee3186d26dcbcd,random-acts-of-pizza/7200/qwen,forets-1,2,585ca8e7f70f4bd191dc61a26f47b541,2fa44e6927bf84e7e193c87c9a189c7b839a369a35aeaa41341ba85d5e80cfbf,True
1eee3186d26dcbcd,random-acts-of-pizza/7200/qwen,forets-1,2,6592d31db6f24837856740ed9787676d,c0821ff79bddaa3dce9a3cd512292132b8cfec70c44cfb6bd3124231a56fccce,False
adc09c14eda018c4,random-acts-of-pizza/7200/qwen,forets-1,3,a2c925741e354ea3b5c26b56eb96b184,01ff115b438ea6c2986d4537b14ff0de9e24305ec33cbc6add58b249101b4cef,False
adc09c14eda018c4,random-acts-of-pizza/7200/qwen,forets-1,3,eb5edec191c84f3a94f985c390e12eb2,2c5daf0cb590ef55ba051885bfa9c28fb0d9abbaa8e177ccd2c8bd2d04b24896,False
adc09c14eda018c4,random-acts-of-pizza/7200/qwen,forets-1,3,6e70dd4ef9454523825fb5b1cfcd8900,049448dfeb716e859d70a0f2087f049a5c15047347d13ac5cd894db7b15a9e2f,True
adc09c14eda018c4,random-acts-of-pizza/7200/qwen,forets-1,3,b03095f379644a0db262aa8e27d0202a,96d7ae304e35cfb46827e4a9c1bbdc2b9d46cb91e0580525a7eb7a631f92aa1c,False
adc09c14eda018c4,random-acts-of-pizza/7200/qwen,forets-1,3,d080861d64ba460da828d45e5a21613b,a8668ed0f323d3db3bb59caa7d2a75f8032f2dc53212cfb06fcaf6b2c9c3b47e,False
adc09c14eda018c4,random-acts-of-pizza/7200/qwen,forets-1,3,1c2c0db0dcf84f8390f213553757014f,60295fb30d9b43f45652bd7baf9b0d6d4fe8edd5fe5b92a5451ff9c012cb062d,True
817f8d5f4ca7979e,random-acts-of-pizza/7200/qwen,forets-2,9,2df9baf309c941f1b3f9d2b9c9423287,cd3515048dcf8b77058f0c0c911b17b00df457fffd81f7b1a3171fc834038bcd,False
817f8d5f4ca7979e,random-acts-of-pizza/7200/qwen,forets-2,9,dc49402d94a84221ad1624e329ffacf2,28c1e2697f30359bd4652172e425f08812508064d26dc7d131dd34f53224a02f,True
817f8d5f4ca7979e,random-acts-of-pizza/7200/qwen,forets-2,9,583a2eb0316d4f8988ede700367ba008,423f9923948bd03ba2921ac1a9b295e81920e444f37df5aa7a1a5c2b822e47ed,False
817f8d5f4ca7979e,random-acts-of-pizza/7200/qwen,forets-2,9,ae2a75eb4e6c4defb64704dbfa67c219,516c71bab2c5078cd12e4cf115343693f8e364089b8f40137a138e0a71d0859a,True
817f8d5f4ca7979e,random-acts-of-pizza/7200/qwen,forets-2,9,0189ee20a6bf4793bf270e52664e5ebd,4ec2e71c69b956fbbfce6a67089ee5e232ffa9185f87a3857c7ecfbe3615d648,False
817f8d5f4ca7979e,random-acts-of-pizza/7200/qwen,forets-2,9,875e6b2743b74914ac6e5896fb70730f,c54052baeb07382c62b750d3fce603e8bfc529a4d2547cbb19c6f24e1650efff,False
7a9056cf3c6744ea,random-acts-of-pizza/7200/qwen,forets-2,11,1e0252df0cd14560870e6acd36bc98ff,79c9536ffd46d28f9235603c1e6c80bf328e44659ff8ed4e6bb359671bb62717,True
7a9056cf3c6744ea,random-acts-of-pizza/7200/qwen,forets-2,11,0e413d7eae5d4db4ac7a71336d16ba56,e79f932d35f71e3232e0aba0013545c8d42d2fed66325cb98eaf6f829e8bb5c7,False
7a9056cf3c6744ea,random-acts-of-pizza/7200/qwen,forets-2,11,52eebeddf9b24b19906b124b2d39e13e,95d4008f53f8458348aa3b3875ae1758f4341193bf74d495032701023ba7df3c,True
7a9056cf3c6744ea,random-acts-of-pizza/7200/qwen,forets-2,11,615c833fae9f4babbe384f094ea6593d,129cd07355da58cd419b75ca0c516660e3d68475a80b156547b8e0e0679828cf,False
7a9056cf3c6744ea,random-acts-of-pizza/7200/qwen,forets-2,11,3cbcc03934d045f790b269dd5daeb058,b903071c3c1575c4ac8cef6d423618604ec015e070db84b7a66c4c0148bd7d60,False
7a9056cf3c6744ea,random-acts-of-pizza/7200/qwen,forets-2,11,65eaad58c54a4bab984e9880efab38d7,2228b8c4519462bb9afda189ef3db0da9e6e00f12786cbff637f4dd35e9e0039,False
2b7183932e4e50dc,random-acts-of-pizza/7200/qwen,forets-2,13,d4019d8dedf349d2848c4d0ef5dc0cbd,8b7b4e10442dc196b49d159b5ff16f8a9991bfa9de7096b540ce8c5c71975a07,False
2b7183932e4e50dc,random-acts-of-pizza/7200/qwen,forets-2,13,aa490067d780478da30a50f53f2e7278,64b09f2f3de9c3d62b81532551a731882781e3ebe2b3fd40edb0448891517008,False
2b7183932e4e50dc,random-acts-of-pizza/7200/qwen,forets-2,13,f9d22a68caee48a3ad13fecb9a794f8b,8247aafda450c2e57a66aae67d01df98f50cf735275882085be14417e5a9304c,False
2b7183932e4e50dc,random-acts-of-pizza/7200/qwen,forets-2,13,6d6804af5f4349eaaba2215be4f7b3a7,cc119244e3ef42088ff96547c515e9bd62822da0796cddf56bdafbb732f0f64a,True
2b7183932e4e50dc,random-acts-of-pizza/7200/qwen,forets-2,13,228f3e5202384af2b4e6ebda8199d13f,646e24fbb7ea2e61d11906d661509a2358e6f70bc518305ff7d19415d41c1036,False
2b7183932e4e50dc,random-acts-of-pizza/7200/qwen,forets-2,13,4364f7b57d9b46f3a03d6d82e67f41b0,ba7f5777ac1ec5f69ab5177e9a4d744648cec7f6855c1e411dd91cd1eb63c600,True
4cc32ca4dfbf20a2,random-acts-of-pizza/7200/qwen,forets-2,10,446d60b4cfb0422c9c3475845f39bd8d,7eed1855ac060d887bfaa1228c99118dbfdc24f027c105b5e783c1631387772b,False
4cc32ca4dfbf20a2,random-acts-of-pizza/7200/qwen,forets-2,10,f6f6cbc64a4041728439080b394649fd,16465c591db3123aa02ef42f2d90404baa78e826b66b9b73617233396b5f7fe0,False
4cc32ca4dfbf20a2,random-acts-of-pizza/7200/qwen,forets-2,10,3cd6c3c935f545b9be2c53cba7e17a8d,e91cce4178dcbf28dc344ca3f4443f71e22bb36193639e194403332da2b80dfa,True
4cc32ca4dfbf20a2,random-acts-of-pizza/7200/qwen,forets-2,10,22b97c2b1bc546b8b500461e984d9ed5,9963c13073e967aebdc2cf91fa87fb2a94cd59862860f59db308edfba408209b,False
4cc32ca4dfbf20a2,random-acts-of-pizza/7200/qwen,forets-2,10,37e5b7ff3ff1445c8a4d35414e667bdc,5675469e22ed484529082fdb11432e01b3115231690208efeff83d1c62a4b963,True
4cc32ca4dfbf20a2,random-acts-of-pizza/7200/qwen,forets-2,10,1090dc4ff8f148ea8242f5b315997de5,4d269535ceabac53f6a1222d00c96f4c4763e87c0003b7c2bb12c9a846ff7996,False
72dcad0e0ccc9a02,random-acts-of-pizza/7200/qwen,forets-2,12,ec4cb82c6e62485dad3681fc0802b1d1,0ee2934baee10d5c9a45f2a7de503bf53f421647b4f62576d76a69187aa5ff86,True
72dcad0e0ccc9a02,random-acts-of-pizza/7200/qwen,forets-2,12,96e405899176477a86782b90a91211c4,f658dc91533eae0a0ee058f18a42584be6df6489df92208a88eda55448fc06ea,False
72dcad0e0ccc9a02,random-acts-of-pizza/7200/qwen,forets-2,12,59076f5bd1b146258a19d384636fd1b8,e8cd247e90c6d126c34ce32dea90b6c4b4a6d935f1082fd66401519b1265acd2,False
72dcad0e0ccc9a02,random-acts-of-pizza/7200/qwen,forets-2,12,d64ef3e19ec74b3d8591a4dfa4f70aa8,adf64744c2ca7be702c47cca36f1812744cb389cb9d676031e074f1abb5c8cbd,False
72dcad0e0ccc9a02,random-acts-of-pizza/7200/qwen,forets-2,12,fbb0f69deb494c3485852570de09ed6d,48457770c26703eeb9ecc80da4ef259bd4a12a6e9c5523622ce49e9e88b27c81,True
72dcad0e0ccc9a02,random-acts-of-pizza/7200/qwen,forets-2,12,295fcfd14f49431f91de8e4d91e26e70,c56d99499936379bf210e755c5aec5113af4dfa86bbaf31aba09a0fe010127df,False
e4a4275f2df8028e,spooky-author-identification/7200/qwen,forets-1,3,5b9cd32204c3440dac7fa60cd214150e,e0c570be02f06794ac96216602b0b12630a7775979540a3ffe55f4f82a209bc1,False
e4a4275f2df8028e,spooky-author-identification/7200/qwen,forets-1,3,4f611c2460c24fed9a438ad06361e90c,051705671bdaed4007783b885af36d721c6d1576dc5e96b17c8df81b62f8504b,True
e4a4275f2df8028e,spooky-author-identification/7200/qwen,forets-1,3,215ddc7cc09d4c9b803c5e907a0febab,9595980ee43c0973a4fcbe1ed5a133dde6ab1eb741d73ea27990595e69c3bca2,False
e4a4275f2df8028e,spooky-author-identification/7200/qwen,forets-1,3,6c16e24474e2420aa84749cca7ec4fcc,50bd35977780ccda7df4d37190d588bb06a1f6ee3fe2e38247dc13d851252df6,True
e4a4275f2df8028e,spooky-author-identification/7200/qwen,forets-1,3,f2fe279e88d24765b17acf70142cb64f,68d71f9c1e9de7d54b022ab1e37bd0fdcb2e1b6042d8961ac66210170a7a9002,False
e4a4275f2df8028e,spooky-author-identification/7200/qwen,forets-1,3,7fd543de108e48eaa44f25c5fb17cbc7,58d5281e9158471aa43a72727f5adddb0e2216e9c971df5efe06a33acf9cd0c3,False
58d3914785a2cfe1,spooky-author-identification/7200/qwen,forets-1,2,03e046a643bc4b969a873c6d28b0a71b,1b40bb3ec8f2fb3ec7df903d11bababc5bbc26f59fd913b310918a028795685a,False
58d3914785a2cfe1,spooky-author-identification/7200/qwen,forets-1,2,a95f3a1a09754008bd019dbb5955584e,defd0cca8c58217b51c2f08fd17bcac812f82c25b255afbded1640ce9a20005e,True
